trial,value,lasso_alpha,catboost_iterations,catboost_learning_rate,catboost_depth,catboost_l2_leaf_reg,ensemble_lasso_weight,cv_rmse_log_mean,cv_rmse_log_std,oof_rmse_log,oof_mae_price,oof_rmse_price,oof_mape_percent,oof_wape_percent
40,0.11031346809881178,0.0004027010948253077,800,0.012324815351403265,6,2.8175710949896677,0.8162324832762724,0.11031346809881178,0.006474935293965178,0.11050765328907199,13135.31238510059,20005.19396621336,7.7534565793467545,7.2597692298441885
41,0.10915898801479226,0.0005883924787156615,900,0.021327164807484995,7,2.1526588586334143,0.718597822096603,0.10915898801479226,0.006980905738979394,0.10938653208254617,12965.365286322532,19869.72335904109,7.644687822710199,7.165840994090184
42,0.10915413994672545,0.0006949833008124246,1000,0.016716998892069443,7,1.5911403802680428,0.6311849327924353,0.10915413994672545,0.007248852687841286,0.10939877665839684,12947.410154994484,20058.376026051395,7.6141390847478885,7.155917354201648
43,0.11332245798576601,0.0021527068223937402,1000,0.016345543482231363,7,1.6477489580165607,0.6212588104815892,0.11332245798576601,0.009212470472963292,0.11370111260667407,13547.717145583256,20837.937538742637,7.955050029877389,7.487701638500825
44,0.10938937139117451,0.0008572545926795168,1100,0.017621652608080293,7,0.9030255896160917,0.5543806768175756,0.10938937139117451,0.007491478989848952,0.10965020765021177,12969.103697856674,20318.533256232284,7.598563084368439,7.167907180582622
45,0.10951645572910687,0.0002169312485998018,1200,0.014393806638401549,7,7.46331505687107,0.49978183014126476,0.10951645572910687,0.007375200579889672,0.10976849940537743,12971.678867353208,20530.853203671842,7.585633759265985,7.169330453644158
46,0.11055552363176338,0.000330722307238086,400,0.018722048455423572,7,4.122260305136271,0.6365407613706026,0.11055552363176338,0.00699700872924004,0.11078163897137502,13101.344262928602,20500.352164791053,7.697643974634342,7.240995353676652
47,0.10860653845478394,0.000453571729261909,1000,0.03241077829611259,6,1.1671774483612325,0.5667278361360157,0.10860653845478394,0.006884300683208263,0.10882881337227958,12828.873322470403,20122.94753131294,7.5119317935799454,7.090403111058283
48,0.11125548302206381,0.00012435133589519564,1000,0.0369676632637992,4,1.1461432636726954,0.39309872335161444,0.11125548302206381,0.005829571460190386,0.11141047664814033,13090.231193181562,20800.256781687294,7.624569527117566,7.234853259797698
49,0.10853154934489626,0.000507964761834119,800,0.03251977355907589,6,2.637657233029987,0.5677858121328881,0.10853154934489626,0.006801525933236996,0.10874793475971355,12848.826580434767,20090.701276929576,7.52770295024462,7.101431097600052
50,0.10936387357137203,0.0002428256082288451,700,0.03228538073787605,5,2.634779335285605,0.4924694752046178,0.10936387357137203,0.006502769284319467,0.1095602106877226,12974.610123701286,20410.724680232855,7.576375877164905,7.170950532711687
51,0.10882816848481199,0.000465126904554105,800,0.04021524335819911,6,3.443635042605252,0.5570361776865039,0.10882816848481199,0.006626535838108932,0.10903314099345862,12902.035676041585,20176.86767892267,7.548839083516104,7.13083928704459
52,0.10866549231972386,0.0003307020177579633,800,0.04190456566692286,6,3.6574771479520516,0.5555695609759943,0.10866549231972386,0.006633126903041482,0.10887087792786755,12831.013609966853,20176.94959272147,7.512814119928297,7.091586028742629
53,0.11007427881615069,0.0001511679978712165,800,0.04366229780674952,6,0.6927702615718185,0.5334598692865367,0.11007427881615069,0.006839990095946252,0.11028962916658475,12948.780905140859,20516.145797830137,7.586470299806407,7.156674955501311
54,0.10952677440351184,0.00030844665873003046,700,0.03799478845414721,6,4.258074629312011,0.41811822750077254,0.10952677440351184,0.006968473639451227,0.10975128280147012,12973.814180808247,20724.5434545047,7.553964456556611,7.170510622220472
55,0.10903888209135519,0.0003898337484055315,600,0.05042720170552659,5,1.8728978415741235,0.5735401052840238,0.10903888209135519,0.006896821650374233,0.10925948695460465,12900.985674584892,20144.473991706225,7.563176062706332,7.130258960666115
56,0.10910093919148708,0.0002439183239781055,800,0.03477048269833998,6,5.472810334589289,0.48111901608283547,0.10910093919148708,0.006900694695823178,0.1093224334062344,12855.605629893891,20288.73957651537,7.519433127295806,7.105177817375577
